"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1986","1986","PC","Percentage","0","Units",,,9.145541,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1987","1987","PC","Percentage","0","Units",,,9.470708,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1988","1988","PC","Percentage","0","Units",,,9.830916,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1989","1989","PC","Percentage","0","Units",,,9.782253,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1990","1990","PC","Percentage","0","Units",,,10.72708,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1991","1991","PC","Percentage","0","Units",,,9.455926,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1992","1992","PC","Percentage","0","Units",,,8.061233,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1993","1993","PC","Percentage","0","Units",,,7.24507,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1994","1994","PC","Percentage","0","Units",,,8.364868,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1995","1995","PC","Percentage","0","Units",,,8.161792,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1996","1996","PC","Percentage","0","Units",,,7.229915,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1997","1997","PC","Percentage","0","Units",,,6.143073,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1998","1998","PC","Percentage","0","Units",,,5.279053,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1999","1999","PC","Percentage","0","Units",,,5.541102,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2000","2000","PC","Percentage","0","Units",,,5.925412,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2001","2001","PC","Percentage","0","Units",,,5.480272,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2002","2002","PC","Percentage","0","Units",,,5.290907,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2003","2003","PC","Percentage","0","Units",,,4.810544,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2004","2004","PC","Percentage","0","Units",,,4.579607,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2005","2005","PC","Percentage","0","Units",,,4.066929,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2006","2006","PC","Percentage","0","Units",,,4.20776,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.269767,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.605302,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2009","2009","PC","Percentage","0","Units",,,3.230619,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2010","2010","PC","Percentage","0","Units",,,3.23514,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2011","2011","PC","Percentage","0","Units",,,2.783036,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.87341,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.261959,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.23083,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.521695,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.251758,,
